2015,4,1,3,0,0,6,50,0,0
7008,8,2,7,0,0,,,,
7010,8,21,20,1,2,,,,
7016,8,32,26,1,1,,,,
7006,8,19,14,1,1,,,,
7015,8,44,35,3,1,,,,
7017,8,30,17,1,2,,,,
7013,8,1,1,0,0,4,23,0,3
7018,8,,,,,3,35,0,0
7003,8,,,,,3.3,30,0,0
7014,8,,,,,4,38,0,0
7007,8,,,,,4,28,0,0
4005,8,35,28,5,1,,,,
4019,8,11,13,2,0,,,,
4013,8,59,38,7,2,,,,
4001,8,34,21,4,1,,,,
4020,8,14,11,2,0,,,,
4021,8,,,,,4,33,0,1
4022,8,,,,,,,,
4006,8,,,,,4,25,1,0
4023,8,,,,,4,28,0,2
4009,8,,,,,4,31,0,1
4024,8,,,,,4,33,0,1
4011,9,30,20,5,0,,,,
4002,9,69,46,8,2,,,,
4017,9,8,18,0,0,,,,
4001,9,7,6,0,0,,,,
4005,9,0,1,0,0,,,,
4010,9,0,1,0,0,,,,
4003,9,6,8,1,0,2.2,37,0,0
4018,9,29,15,2,2,4,30,0,1
4023,9,0,1,0,0,4,27,0,0
4008,9,3,4,0,0,4,42,0,0
4009,9,,,,,4,25,0,1
5012,9,4,4,1,0,,,,
5001,9,32,30,3,1,,,,
5002,9,101,54,10,5,,,,
5018,9,20,22,0,1,,,,
5023,9,,,,,,,,
5003,9,,,,,,,,
5004,9,,,,,4,33,0,1
5020,9,,,,,4,45,0,0
5008,9,,,,,4,24,0,5
5024,9,,,,,4,21,0,2
5011,9,,,,,4,34,0,0
4011,5,66,57,7,2,,,,
4005,5,111,109,10,6,,,,
4010,5,44,54,2,0,,,,
4001,5,1,9,0,0,,,,
4012,5,79,54,6,3,4,,,
4002,5,20,8,1,2,,,,
4014,5,7,5,1,0,10,58,3,2
4008,5,1,4,0,0,10,55,0,3
4004,5,0,0,0,0,10,45,0,0
4015,5,,,,,10,73,0,0
4009,5,,,,,6,40,0,0
5002,5,0,9,0,0,,,,
5001,5,102,109,15,0,,,,
5018,5,66,76,7,0,,,,
5013,5,32,29,4,0,,,,
5004,5,45,33,4,0,10,60,0,0
5003,5,42,31,4,1,,,,
5021,5,12,13,1,0,,,,
5022,5,,,,,10,69,1,5
5009,5,,,,,10,44,1,1
5011,5,,,,,10,88,0,0
5008,5,,,,,10,72,0,1
8012,6,10,20,2,0,,,,
8001,6,31,44,1,1,,,,
8002,6,9,25,0,0,,,,
8013,6,44,66,2,0,,,,
8014,6,78,90,4,2,4.3,14,0,0
8005,6,30,21,1,2,,,,
8009,6,10,16,0,0,8,54,0,0
8015,6,15,16,1,0,7,35,0,0
8017,6,2,2,0,0,9,52,0,0
8016,6,,,,,6,42,0,0
8010,6,,,,,5,41,0,0
5001,6,111,119,7,4,,,,
5012,6,114,100,16,2,,,,
5025,6,12,18,1,0,,,,
5003,6,,,,,,,,
